"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
TSPAN6,774.876174234694,0.15698333787133,0.17919886036593,0.876028661961161,0.381014452361289,1
DPM1,1841.29808071267,-0.0252733553966082,0.116765513076403,-0.216445376128062,0.828640599402133,1
SCYL3,396.306618108844,-0.0416570897761434,0.17442764031861,-0.238821609350745,0.811243913173724,1
C1orf112,893.487570549897,-0.108863928398266,0.101896240477722,-1.06838022568721,0.285349033178374,1
CFH,375.680026295331,-0.175975252343828,0.364335981146902,-0.48300267184666,0.629093839108088,1
FUCA2,3563.48939359438,0.0144545149123756,0.1373213523945,0.105260505087733,0.916169101199774,1
GCLC,2552.96123522892,-0.0300867471571049,0.12163457211625,-0.247353582403775,0.804634594019903,1
NFYA,1682.20913862192,0.0983700970016681,0.105065234169167,0.936276378952157,0.349130906676784,1
STPG1,374.958967775233,-0.140443580964792,0.166922187555603,-0.841371557738597,0.400139814139889,1
NIPAL3,1177.34539380614,0.0289607980578926,0.132027204033981,0.219354778204942,0.826373693919832,1
LAS1L,3048.33007719572,0.0709820874531534,0.0647774444176615,1.09578400462183,0.273173310030134,1
ENPP4,572.19638376038,-0.263612196110805,0.18594748101831,-1.4176701650766,0.156287084464209,0.995429993976784
SEMA3F,436.770763318393,0.105682843875013,0.234011486570407,0.451613916153711,0.65154714298452,1
ANKIB1,2031.39463165934,0.0607551502929121,0.104815508394449,0.579638941064657,0.562158126951154,1
CYP51A1,3044.76163545859,0.20819776920431,0.0589032481048912,3.53457196169495,0.000408436202670917,0.0884648551448413
KRIT1,1076.77729768378,-0.0642114588090356,0.157162740805915,-0.408566677316555,0.682857689142041,1
RAD52,451.004261371762,-0.0713792244385299,0.209475350309718,-0.340752381284924,0.733290001418673,1
MYH16,17.6262980254656,0.604134556614757,1.83539690664288,0.329157445143447,0.742036686147264,1
BAD,1345.36118482961,-0.0985786526888579,0.140545873994826,-0.701398410973535,0.483054413377673,1
LAP3,2383.02692238816,0.0182103814166575,0.0622932431526404,0.292333172829606,0.770031897743222,1
CD99,3336.38651380556,-0.074585579535542,0.163494807516565,-0.456195402584788,0.648249471110399,1
HS3ST1,157.392500293436,-1.90119392784592,1.00941112710206,-1.8834683676453,0.0596369227491223,0.843215497706106
AOC1,26.789395575601,-2.68160315434615,1.5485405199713,-1.73169711722872,0.0833275041911369,0.907353151660184
WNT16,8.92652743323281,0.00216695080780469,0.848817516919215,0.00255290538261939,0.997963078422565,1
HECW1,367.188746055348,0.00414034045339987,0.196036910152449,0.0211202086901906,0.983149764286194,1
MAD1L1,1659.38745680224,0.0830731714299257,0.178938612071261,0.464255145763857,0.642464955906456,1
LASP1,34296.5752752987,0.0233816397092048,0.116067992016959,0.201447783345717,0.840348455232933,1
SNX11,830.49252799205,0.0874245812988868,0.112806841738488,0.774993608114277,0.438343436578863,1
M6PR,5825.79087419311,0.0731730601211533,0.0460157450054208,1.59017440905354,0.111795497221626,0.956549162912618
KLHL13,152.279254959806,0.331493713461915,0.318427801914613,1.04103257149263,0.297860431708128,1
CYP26B1,404.84754467821,-0.054365949229417,0.265036408112497,-0.205126343269567,0.837473415074424,1
ICA1,197.089257444261,-0.230606731282047,0.410746637312216,-0.561433035194292,0.574502368897743,1
DBNDD1,379.054078619749,-0.266560442771064,0.138326690410376,-1.92703549821263,0.0539752061653261,0.817202039746677
ALS2,1973.82645578568,0.236801593939574,0.109824863623853,2.15617471423059,0.0310700251922909,0.701688023005548
CASP10,192.772731501532,-0.077537534292589,0.323798290349527,-0.239462457349266,0.810747004391652,1
CFLAR,2761.27319617421,0.117175943877336,0.102739126742015,1.14051917310503,0.25407006952643,1
TFPI,3643.27926229672,-0.137114137425035,0.276505682842222,-0.49588180617349,0.619977803233055,1
NDUFAF7,683.836952423686,-0.0846495351789634,0.180627306554278,-0.468641961139616,0.639325578725066,1
RBM5,3208.52188893078,-0.0263759627573065,0.115242196491724,-0.228874175955164,0.818966712451822,1
MTMR7,70.8390437590076,-0.200905567140806,0.419059936099475,-0.479419648203056,0.631640118376406,1
SLC7A2,1940.68180859769,-0.0530755892831146,0.152693212263105,-0.347596258513839,0.728143416546669,1
ARF5,1749.66405098133,0.0777056103492777,0.144769490080536,0.536754051603344,0.591437514374926,1
SARM1,385.869137586356,-0.0224174626175319,0.408846524470435,-0.054830997148792,0.956273105386632,1
POLDIP2,4680.35194483079,0.0710570008077293,0.119414081689605,0.595047081569735,0.551812000070338,1
PLXND1,3118.1442098658,-0.124987667206911,0.139212016377921,-0.897822403977003,0.369280238462971,1
AK2,7265.04627535989,-0.0957564996994429,0.081931681906312,-1.16873592084854,0.242510044757111,1
FKBP4,8950.44220957362,-0.000718494242558428,0.0676218189666871,-0.010625183609929,0.991522489552997,1
KDM1A,4657.81944878742,0.0718890841772091,0.0947078660108517,0.759061387456159,0.447815835730038,1
RBM6,2256.53573822625,-0.135725080195242,0.10506368067045,-1.29183633515531,0.196413829220112,1
CAMKK1,887.489373570716,0.0532151164841172,0.0772021263663899,0.689295994666858,0.490637017985768,1
RECQL,2253.07833273721,-0.0567021319505755,0.0872077666255907,-0.650195895900132,0.515565691746152,1
VPS50,455.168352686157,0.534661373233541,0.2208106345913,2.42135698863937,0.0154626838986504,0.551813495867659
HSPB6,271.862314522847,-0.0129869198864203,0.108123266894659,-0.120112166968401,0.904394294323805,1
ARHGAP33,465.164797063645,0.0955376862227133,0.403240997712797,0.236924535859716,0.812715334963694,1
NDUFAB1,2965.24389600845,-0.0891587582094127,0.106169313496407,-0.839778983900376,0.401032319015037,1
PDK4,205.53263710191,-0.252430089735326,0.114131220667919,-2.21175317549442,0.0269837240926492,0.673829823423043
ZMYND10,29.3215672484847,0.778633696733777,0.611856599882926,1.2725754643862,0.20316872967225,1
ABCB5,4.81387101644613,0.427019623638896,1.03838073382326,0.411236081072722,0.680899433760928,1
SLC25A13,1761.84030607728,0.120411957681447,0.117096343807995,1.0283152638727,0.303801553296759,1
ST7,596.409176338955,-0.0941389899665466,0.151153909398131,-0.622802217563487,0.533414500901507,1
CDC27,5268.49129426934,0.0129570684084735,0.129515021350331,0.100042977821278,0.920310205207991,1
SLC4A1,8.93226684659272,0.724414453585142,1.20436729911755,0.601489640341388,0.547513909773398,1
HCCS,1473.19872947367,0.0194835159677801,0.100431103808893,0.193998823361083,0.84617680322373,1
DVL2,2162.93419372617,0.034755858761192,0.0981910531257569,0.353961564264708,0.723367688123466,1
PRSS22,10.6932807482872,0,1.75830021968303,0,1,1
UPF1,5540.19143567648,0.242576485475979,0.116943435041262,2.07430614117321,0.0380508878357782,0.748559072383699
SKAP2,1448.28131468509,0.000961526315382481,0.18575840984817,0.00517621956480132,0.995869992768646,1
SLC25A5,14154.5549207983,-0.000641878747266049,0.0789554869524194,-0.00812962812391824,0.993513566683921,1
MCUB,513.423432326825,-0.314687130963325,0.214964437991348,-1.46390321070683,0.143220396011894,0.985488582459092
HOXA11,363.463806858947,0.110333175590998,0.131446437659162,0.839377449521225,0.401257534129757,1
POLR2J,1203.97361836874,-0.0522890823171971,0.146278983772745,-0.357461345222578,0.720746459193258,1
DHX33,2940.29950790933,0.0264477779651187,0.0840539699775705,0.314652335543178,0.753025637917817,1
THSD7A,87.9990856459505,-0.180849972386132,0.735028019387173,-0.246045004565833,0.805647394490702,1
LIG3,2176.42766371469,-0.292996013809265,0.144238876437914,-2.03132484836972,0.0422220523271528,0.774278926152182
RPAP3,1467.41783561679,-0.0125594555018223,0.299116115814281,-0.0419885617584724,0.966507816471046,1
ACSM3,64.9748503228043,-0.37735096643401,0.5200365016068,-0.725623999984764,0.46806930407845,1
REXO5,282.300089446391,-0.121528072173508,0.213627638294592,-0.56887804004986,0.569438909105854,1
CIAPIN1,2898.19994082551,0.0610269269835846,0.0751395980973145,0.812180641484768,0.416687985868927,1
SPPL2B,1333.52321872187,-0.0529327506678413,0.146583093697859,-0.361110884840154,0.71801655658134,1
FAM214B,462.72220636531,0.179561103509716,0.164499160507345,1.09156243081069,0.275025476907929,1
COPZ2,34.8334854851942,0.0898967042224567,0.451046055799672,0.199307150714524,0.842022485925631,1
PRKAR2B,298.219539714928,-0.106799432122601,0.151151140335785,-0.706573776984708,0.479831389737564,1
MSL3,816.396523982234,0.020886712679305,0.0995613075225512,0.209787448548464,0.833833569691359,1
CREBBP,4987.99740115841,-0.971740834676721,0.328635490047776,-2.95689560045828,0.00310753314809541,0.27996882991284
TSPOAP1,88.2534283758696,-2.10254560440971,1.55774449265804,-1.34973714516048,0.177100312902915,1
GCFC2,869.334450182857,-0.128037476348921,0.13405915269265,-0.955081945374266,0.339536258482388,1
WDR54,1005.53275678817,0.137874166720042,0.118097773059537,1.16745780337902,0.243025539486902,1
CROT,368.295440155313,-0.0857274581669015,0.131124956310787,-0.653784455521293,0.513250682581089,1
ABCB4,14.546491517004,-0.24764047682279,1.09359421626451,-0.22644640319028,0.820854240553184,1
KMT2E,1629.00796498824,-0.0640709547099294,0.163671755220381,-0.391460057501425,0.695457207283494,1
RHBDD2,1124.00217367506,0.0911839626131416,0.110768167744059,0.823196451383316,0.410396286546632,1
SOX8,29.6579984871438,0.117952688519191,0.403658030097059,0.292209443946474,0.770126491372825,1
IBTK,2938.52015917414,0.0201803860292503,0.109570985764658,0.18417636647529,0.853875099140833,1
ZNF195,1112.04248321172,-0.100007837172052,0.121365406255131,-0.824022596371635,0.409926718790819,1
MYCBP2,4527.09424123355,-0.0910204933247631,0.109824868921068,-0.828778529116022,0.407229739835848,1
FBXL3,1674.92849684595,-0.0727326748956612,0.0802916507097385,-0.905856016817942,0.36501206698884,1
ITGAL,9.79125080226003,3.76187844538225,1.40832960943666,2.6711633556345,0.00755888509745573,0.424570692562393
PDK2,591.072221530868,0.313798242917587,0.286783447148782,1.09419928534017,0.273867584851383,1
ITGA3,38441.0131647264,-0.0627449100661995,0.146401032342077,-0.428582429115605,0.668227134810155,1
ZFX,1153.53281534002,0.0746464707918197,0.138537458028223,0.538817961973958,0.590012468440001,1
LAMP2,4293.44110674892,0.064596825496617,0.087335402404038,0.739640783903119,0.459517987925822,1
ITGA2B,82.6521119002653,0.571967546865773,0.48859571308355,1.1706356227648,0.241745272132435,1
ASB4,22.1066198016267,-1.11009699684161,0.480082731245459,-2.31230353560464,0.0207609619909255,0.607840856731588
GDE1,2769.98151278155,0.0403947662311874,0.0746612416628147,0.541040643465567,0.588479568968164,1
REX1BD,765.443642595226,-0.0521282497426699,0.197112345378701,-0.264459588477418,0.79142580031528,1
CRLF1,127.397694124786,0.0189510901745733,0.296527791950894,0.0639099965972555,0.949041892420024,1
OSBPL7,449.362820591231,0.396289731358057,0.254554984268658,1.55679423247832,0.119519346988651,0.970315206456541
TMEM98,580.386549468585,0.248611670613313,0.210329856308449,1.1820084650689,0.237202342037922,1
YBX2,561.979334855471,-0.94051358787224,1.2962848609952,-0.725545453913716,0.468117470271897,1
MAP3K14,1838.95133573881,0.289832561749242,0.0948406912474621,3.0559937716291,0.00224315915549671,0.242522358167478
ABCC8,6.0597244281558,-0.00405879746232137,1.73426824226471,-0.00234035160386789,0.99813267129306,1
TMEM132A,5247.53582407325,-0.0933280582629755,0.120817519665513,-0.772471231998114,0.439835379094352,1
AP2B1,10537.2030538165,-0.000778006327005989,0.0845081250967664,-0.0092062902367687,0.992654546919559,1
ZNF263,1438.06740513006,0.120675494306428,0.0866610076187733,1.39250047538434,0.163770897790726,1
CX3CL1,95.5692454262905,-1.55762580953535,0.981520098324166,-1.58695253637171,0.112523394837367,0.958149044842011
SPATA20,2357.85322181723,-0.0113136750477299,0.0982392845333036,-0.115164469096825,0.908314760802925,1
CACNA1G,50.6029438297564,0.519578006623454,0.405770167681771,1.28047364741446,0.200378607039432,1
TNFRSF12A,6939.85971079851,0.19653201190002,0.141841448760151,1.38557532807176,0.165876616172182,1
DLX6,38.5163401316075,-0.46506331971813,1.0125743933584,-0.4592880510988,0.646027327242492,1
MAP3K9,1088.72406943659,0.388376719875367,0.257681441670194,1.50719709327166,0.131760145112592,0.979257693705318
RALA,2011.51017446341,-0.155426024794522,0.0642657445195739,-2.41848944498235,0.0155850977094614,0.554373329255575
BAIAP2L1,944.404343380105,0.0771826685159116,0.133385146819377,0.578645151700647,0.562828631939094,1
KDM7A,376.231931606211,0.175745770316714,0.277303766557242,0.633766257482247,0.526233377068392,1
ETV1,1367.007887795,-0.29458903682586,0.135733674460322,-2.17034599554714,0.0299806446442333,0.694594182341277
AGK,1331.9785356403,0.0069723273166665,0.183909715136683,0.0379116856958024,0.969758095910304,1
ALDH3B1,962.618554531805,-0.0301848175677157,0.134596335283463,-0.224261808496835,0.822553591765563,1
TTC22,33.8989724815239,-2.58002077412373,1.48310991369052,-1.73960186652902,0.0819289512848669,0.902595062738088
PHTF2,2053.09401931957,-0.0388711752250531,0.147142992357064,-0.264172792753369,0.791646774817281,1
FARP2,2218.14623258,0.284183060561162,0.182248031086272,1.55932033321467,0.118920581533651,0.969851523117464
GGCT,2349.15758196135,-0.0198421655910115,0.111752733321047,-0.177554185936627,0.85907310705136,1
DBF4,1625.86122787529,0.195154496098427,0.134421003030155,1.45181550278008,0.146552912127231,0.989911556529584
TBXA2R,219.572710935161,0.460637157622702,0.128216828705792,3.59264195092274,0.000327342230451952,0.0769993401437301
IFRD1,2618.55952384226,0.106052707807509,0.0897840676443334,1.18119740606565,0.237524311503843,1
COX10,770.768278246242,0.0671011696738854,0.218778962764037,0.306707595767592,0.759065947687147,1
GTF2IRD1,1538.54512644558,-0.100047572454703,0.12484118862277,-0.801398749550637,0.422900838828545,1
PAF1,2150.06227328153,0.048324031696383,0.0769719123582498,0.627813837747317,0.530125900060219,1
VPS41,2227.66542470787,0.122557731502301,0.217456445657179,0.563596683151504,0.573028644652782,1
ARHGAP44,129.761668068478,0.13631827890498,0.247142477606245,0.551577698116983,0.58123771963873,1
ELAC2,3896.67477599635,0.115217785367187,0.112838531654807,1.02108547211212,0.307213945488376,1
SCIN,55.2105776067219,0.731310684678409,0.371180208549859,1.97023081466418,0.048811923464356,0.797722569794386
ARSD,314.79591482709,0.0774960194470073,0.278334312093897,0.278427833291584,0.780683955999222,1
PNPLA4,238.541223350837,-0.405565527356736,0.205325033318391,-1.97523663238782,0.048241300573975,0.796794405171635
ADIPOR2,3585.76443450746,0.117567002137585,0.0874137881445228,1.34494802974572,0.178642018175385,1
CDKL3,43.240906118035,-0.101737884966508,0.428777853424205,-0.237274113282748,0.812444143342589,1
PRSS21,936.650393054721,0,1.67595502844455,0,1,1
MARK4,1045.57656807106,-0.190893281889555,0.177708492509669,-1.07419335561112,0.282736029745268,1
CCDC124,2841.4827784898,-0.0941482569350349,0.156585983337868,-0.601255967667871,0.547669512374183,1
PAFAH1B1,5292.15705571803,-0.0190487200159556,0.200194939861093,-0.0951508566059298,0.924195003552611,1
NOS2,33.2405215439439,0.17382822814619,0.628051878482949,0.276773677623687,0.781953894101107,1
KIAA0100,6567.42998032105,0.124750807386413,0.153747007167309,0.811403159546757,0.417134185299944,1
ENSG00000007237,78.6566469275878,0.376256701619616,0.766604692363681,0.490809285890879,0.623561341709653,1
TRAPPC6A,203.368403619506,-0.334274420813935,0.274560957314357,-1.21748708951072,0.223418945596846,1
CD79B,7.03443185986708,-0.786583921501895,1.86811229596576,-0.421058157585359,0.673712614653047,1
ENSG00000007314,56.6614919810366,0.388072449757549,1.33310384715542,0.291104440652257,0.770971443785956,1
ST7L,548.520625496827,-0.177282577979264,0.167967756003261,-1.05545601249696,0.291216817083167,1
PAX6,442.663707120031,0.177954280274707,0.199295591789861,0.89291628919893,0.371902003203377,1
RPUSD1,2564.04393994351,0.107933863902482,0.110241255338723,0.97906961936208,0.327545581562783,1
RHBDF1,1244.74701868566,-0.11001714463108,0.121901954972805,-0.902505170287247,0.366788576159656,1
LUC7L,1947.97973805434,-0.0888416083493682,0.10267309360183,-0.865286174135351,0.386881737431557,1
CACNA2D2,40.9534589741062,-0.624758563514077,0.421386998458995,-1.48262420482551,0.13817428253776,0.98299206660034
BAIAP3,334.881092488962,-0.752405401917684,0.53704615841872,-1.40100695279726,0.161211993981362,0.999624030707564
TSR3,2429.50211371323,0.175210543663896,0.14014601410288,1.2501999773984,0.211226505085994,1
PIGQ,1902.67418398735,0.0187336214081416,0.19280120746264,0.0971654776164805,0.922594983156282,1
CRAMP1,1399.10553657434,0.11395064563194,0.176209587106393,0.646676764318948,0.517841164331125,1
TEAD3,600.459756747857,-0.149001029947028,0.112394202598437,-1.32570031640671,0.184938982585311,1
DNAJC11,3587.43099090701,-0.00957201514357026,0.0781874335476603,-0.122423958803246,0.902563264843293,1
MYLIP,353.301262445444,-0.513551525606484,0.160910019333323,-3.19154473869442,0.00141514192966203,0.191872087450962
NOX1,10.3286830356302,-0.599885059405171,0.454158365152558,-1.32087198086434,0.186544053696147,1
E2F2,526.511242966359,-0.118896695727527,0.090305494839709,-1.31660532881822,0.187970951676616,1
PSMB1,5284.53485159552,-0.0705948512450136,0.0991780927558729,-0.711798838668767,0.476589351960413,1
