"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
TSPAN6,774.876174234694,-0.299327331005485,0.180774284482316,-1.6558070295378,0.0977609037740697,0.310468728788319
DPM1,1841.29808071267,-0.150606432377727,0.117899375677395,-1.27741501184728,0.201455767655022,0.461353179071572
SCYL3,396.306618108844,-0.0631249632509586,0.171427716407187,-0.368230788894251,0.712701154516153,0.865994141596773
C1orf112,893.487570549897,0.302749797741413,0.104737229987735,2.89056525341434,0.00384549687818826,0.0494650105912666
CFH,375.680026295331,-0.687570142696156,0.432750985969002,-1.58883553126187,0.112097529172527,0.335533230399423
FUCA2,3563.48939359438,0.247655383423615,0.136837910304812,1.80984482203765,0.0703198548919674,0.25715617568007
GCLC,2552.96123522892,0.358684968733035,0.123507746572132,2.90414956703587,0.00368252192661694,0.0483933699360088
NFYA,1682.20913862192,0.0280516204775672,0.104312792882493,0.2689183148338,0.787992542762254,0.905396730734422
STPG1,374.958967775233,0.406729149037525,0.160710093152998,2.53082517132458,0.0113794552381165,0.0909562613314846
NIPAL3,1177.34539380614,0.334953385922808,0.132662638570037,2.52485092663053,0.0115747376974435,0.0916838113447205
LAS1L,3048.33007719572,0.00288795250089727,0.0687946505902914,0.0419793178120281,0.966515185575751,0.992602531598987
ENPP4,572.19638376038,0.0106650597332392,0.155885743951233,0.0684158760314582,0.945454584195924,0.983660239087384
SEMA3F,436.770763318393,0.202314341672115,0.164486358889557,1.22997641286447,0.218705937673882,0.481565437714519
ANKIB1,2031.39463165934,0.299163486288923,0.104184956389414,2.87146529265448,0.00408573645615228,0.0513828502474105
CYP51A1,3044.76163545859,0.1724698237277,0.0634441112496601,2.71845282927853,0.00655880070082649,0.0675057772286547
KRIT1,1076.77729768378,-0.202518149398372,0.159719818498876,-1.26795879998948,0.204812664002899,0.465196199469769
RAD52,451.004261371762,-0.31510678903988,0.21610656378653,-1.45810836801395,0.144810675226684,0.385495101400475
BAD,1345.36118482961,-0.0913966501502984,0.140022305381115,-0.65272921983061,0.513930861443965,0.746071359771566
LAP3,2383.02692238816,0.00219855098463016,0.0629281096975857,0.0349375024165792,0.97212957625237,0.995078230276543
CD99,3336.38651380556,-0.410034392336351,0.16485046662905,-2.48731108089017,0.012871279523492,0.0970293977545161
HS3ST1,157.392500293436,0.672720315996822,0.949975323938295,0.708145042344825,0.478855190732438,0.720773423763675
AOC1,26.789395575601,0.0294769026370214,0.268282687826623,0.109872548526391,0.91251045381006,0.96823944764672
HECW1,367.188746055348,0.270922756215028,0.208217692684706,1.30115146663004,0.193206614058064,0.45099013895421
MAD1L1,1659.38745680224,-0.025572807542496,0.176870049286005,-0.144585290984704,0.885038311285698,0.955977066411085
LASP1,34296.5752752987,0.265760963054756,0.115245869375132,2.3060346066694,0.0211086987093096,0.12887273838081
SNX11,830.49252799205,0.181302448664209,0.11453174031352,1.58298868215842,0.113424044038867,0.3372194391692
M6PR,5825.79087419311,0.148178826397677,0.0456514354813841,3.24587441413758,0.00117090480391456,0.0252547792073868
KLHL13,152.279254959806,-0.910664800724069,0.354068893198276,-2.57199889122738,0.0101113215575159,0.0854356991120326
CYP26B1,404.84754467821,-0.310966073330871,0.261922626816778,-1.18724402358869,0.23513138059045,0.501129310555763
ICA1,197.089257444261,0.203667637451344,0.412271776170094,0.494013049700777,0.621296963379078,0.817077314540155
DBNDD1,379.054078619749,-0.0634145174475834,0.148598967829103,-0.426749380389463,0.669561879488183,0.844054933260727
ALS2,1973.82645578568,0.329677177771723,0.108905247430905,3.02719277122883,0.00246836489679716,0.0388405175146649
CASP10,192.772731501532,0.0279016045154599,0.332808283665303,0.08383686910726,0.933186133884551,0.978367327361711
CFLAR,2761.27319617421,-0.12202758013727,0.10156299290513,-1.20149649637891,0.229558664747512,0.494408458695439
TFPI,3643.27926229672,-0.51941660370871,0.274889057477043,-1.88954994598899,0.0588181768905535,0.233232688329774
NDUFAF7,683.836952423686,-0.0763249321909849,0.184186632783207,-0.414389095656153,0.678589173482182,0.84863875141591
RBM5,3208.52188893078,-0.107382143698698,0.115751665932948,-0.927694153109655,0.353566242251911,0.618032128148881
MTMR7,70.8390437590076,-0.089570625289604,0.469186953786273,-0.190906044097734,0.84859920476029,0.937795619753007
SLC7A2,1940.68180859769,0.441367128945966,0.156836176644338,2.81419209769994,0.00488999973760178,0.0569420268590111
ARF5,1749.66405098133,-0.228927539849517,0.145053097781264,-1.57823268410809,0.11451216417608,0.338829735814735
SARM1,385.869137586356,-0.523514766473281,0.453447670461382,-1.15452079826677,0.248286716735233,0.515510764134691
POLDIP2,4680.35194483079,0.350957481763847,0.119704458317587,2.93186642082055,0.00336931634367538,0.0457136538612023
PLXND1,3118.1442098658,-0.137051085767898,0.137488135892853,-0.996821179354011,0.31885131601859,0.583947593322272
AK2,7265.04627535989,-0.0491067165362799,0.0823075404003397,-0.596624759984655,0.550757936494377,0.772705708618723
FKBP4,8950.44220957362,0.0510202955797257,0.0680297135916876,0.749970753749575,0.453272319228423,0.702201298589457
KDM1A,4657.81944878742,0.17672117433025,0.0959119201906968,1.84253608914183,0.065396772652506,0.247351030025064
RBM6,2256.53573822625,-0.109176043808747,0.108394581115357,-1.00720942583429,0.313834144396175,0.579796156382097
CAMKK1,887.489373570716,-0.0391555159226669,0.0887956159063786,-0.440962265118476,0.659240315417761,0.83798037235074
RECQL,2253.07833273721,-0.143610071869975,0.088052139978221,-1.63096628776423,0.10289743316732,0.319341320946184
VPS50,455.168352686157,0.099012074168263,0.218827754557971,0.452465796069908,0.650933456503194,0.834284893525392
